"Model","Duration","Dose","Dataset","Platform","Gene","Value","Value.adj","High Quality"
"Bt474","4d","","GSE54329","MicroArray","MAP1B","1.243","7.248","True"
"T Cd4","3d","","GSE65621","RNASeq","FLT1","1.391","7.244","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","PLLP","-2.619","-7.244","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT1HL1","1.390","7.242","False"
"T Cd4","3d","","GSE65621","RNASeq","COL6A1","-1.390","-7.237","True"
"Huh7","","","E-MTAB-4570","MicroArray","CCDC141","-1.840","-7.236","True"
"Hcc1428","4d","","GSE54329","MicroArray","MSN","1.197","7.225","True"
"Efm19","4d","","GSE54329","MicroArray","TUBB3","1.014","7.224","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","FAM111B","-1.389","-7.222","False"
"Mda-Mb415","4d","","GSE54329","MicroArray","DTL","-1.389","-7.218","False"
"T47D","6d","","GSE54329","MicroArray","PSMB8","1.162","7.217","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CDC42EP5","2.253","7.209","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PLXDC2","-1.491","-7.207","True"
"Hmec1","","","GSE19082","MicroArray","GADD45B","0.611","7.206","True"
"Myeloma.Cma03","","","GSE39685","MicroArray","SNORA65","1.619","7.203","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","CAMSAP2","1.339","7.200","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","FAM111B","-2.524","-7.199","True"
"Bt474","4d","","GSE54329","MicroArray","MT1X","1.235","7.198","True"
"Efm19","4d","","GSE54329","MicroArray","IFITM2","1.010","7.198","True"
"Efm19","4d","","GSE54329","MicroArray","ERP27","1.010","7.197","True"
"T47D","5d","","GSE54329","MicroArray","HLA-C","1.692","7.197","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","MMP10","0.993","7.196","True"
"Bt483","5d","","GSE54329","MicroArray","ST6GAL1","2.287","7.195","True"
"Mda-Mb134Vi","4d","","GSE54329","MicroArray","MAGEA12","-1.451","-7.191","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","RBP1","-1.606","-7.187","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CCNB2","-2.598","-7.187","True"
"Hepg2","","","E-MTAB-4570","MicroArray","FAM135A","1.591","7.186","True"
"Zr751","4d","","GSE54329","MicroArray","ANKRD37","1.227","7.180","True"
"Hep3B","","","E-MTAB-4570","MicroArray","IL1R1","1.485","7.178","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CASP4","2.594","7.176","True"
"Huh7","","","E-MTAB-4570","MicroArray","ANKRD1","-1.825","-7.175","True"
"Macrophage","","","GSE8515","MicroArray","XYLT1","-0.988","-7.169","True"
"Zr751","4d","","GSE54329","MicroArray","PLOD2","1.224","7.161","True"
"Hcc1428","4d","","GSE54329","MicroArray","FHL2","1.187","7.161","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HMGCS1","-1.586","-7.159","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CRYAB","-1.505","-7.156","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","PIMREG","-2.508","-7.155","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","TNFSF10","2.187","7.148","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","MT2A","1.372","7.148","False"
"Hep3B","","","E-MTAB-4570","MicroArray","LRG1","1.478","7.145","True"
"Efm19","6d","","GSE54329","MicroArray","C1RL","1.120","7.144","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ZNF582","1.328","7.142","False"
"Hep3B","","","E-MTAB-4570","MicroArray","KCNT2","1.476","7.133","True"
"Bt483","4d","","GSE54329","MicroArray","DDIT4","-3.912","-7.130","False"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","C2CD4A","2.411","7.125","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","MCOLN2","-1.591","-7.123","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","DTX3L","1.498","7.120","True"
"Zr751","4d","","GSE54329","MicroArray","HMGB3","1.217","7.118","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","MAFB","1.495","7.107","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","PCLAF","-1.367","-7.107","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","GABRA2","1.588","7.107","False"
"Bt483","6d","","GSE54329","MicroArray","CBR3","2.122","7.106","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","DLGAP5","-2.567","-7.103","True"
"T47D","4d","","GSE54329","MicroArray","SPINK13","-2.272","-7.099","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS10","-1.010","-7.098","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPL27","-1.010","-7.096","False"
"Hepg2","","","E-MTAB-4570","MicroArray","ARG1","-1.571","-7.096","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPL31","-0.968","-7.094","False"
"Efm19","6d","","GSE54329","MicroArray","ADH1C","1.111","7.089","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","LBH","0.978","7.089","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","STAT3","1.491","7.088","True"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","LRRC31","-1.284","-7.085","True"
"Zr751","6d","","GSE54329","MicroArray","S100A8","4.591","7.084","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","IFIT3","1.945","7.083","True"
"Zr751","5d","","GSE54329","MicroArray","MXRA5","1.627","7.082","True"
"Bt474","4d","","GSE54329","MicroArray","CXCR4","1.214","7.079","True"
"Hep3B","","","E-MTAB-4570","MicroArray","C4BPB","1.464","7.078","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","NTRK1","-2.393","-7.071","True"
"T47D","6d","","GSE54329","MicroArray","HLA-DRB1","1.138","7.070","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","LCE3D","1.940","7.063","True"
"Bt483","5d","","GSE54329","MicroArray","FLRT3","2.244","7.062","True"
"Zr751","4d","","GSE54329","MicroArray","KRT23","1.207","7.061","True"
"Zr751","5d","","GSE54329","MicroArray","FAM83D","1.622","7.058","True"
"T47D","4d","","GSE54329","MicroArray","CCDC85A","-2.258","-7.058","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","CCL2","3.267","7.057","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","SPC25","-2.473","-7.053","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","PRR16","1.483","7.051","True"
"Hep3B","","","E-MTAB-4570","MicroArray","GJA1","-1.454","-7.028","True"
"Bt474","6d","","GSE54329","MicroArray","GULP1","1.337","7.027","True"
"Bt483","6d","","GSE54329","MicroArray","SERPINA3","2.099","7.026","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","SCRG1","1.568","7.018","False"
"Zr751","4d","","GSE54329","MicroArray","BNIP3L","1.199","7.015","True"
"Bt483","6d","","GSE54329","MicroArray","CALB2","2.095","7.014","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","PAPSS2","2.534","7.011","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","APOA2","-0.992","-7.010","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","SLC4A2","-1.303","-7.009","False"
"Bt474","5d","","GSE54329","MicroArray","DNAJB1","1.192","7.007","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SLC7A11","-1.924","-7.007","True"
"Hep3B","","","E-MTAB-4570","MicroArray","ORM2","1.449","7.004","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","S100P","1.923","7.003","True"
"Hep3B","","","E-MTAB-4570","MicroArray","EGR1","-1.448","-7.000","True"
"T47D","6d","","GSE54329","MicroArray","VWA5A","1.127","6.997","True"
"Efm19","4d","","GSE54329","MicroArray","SERPINA1","0.981","6.989","True"
"T Cd4","3d","","GSE65621","RNASeq","SLC27A2","1.342","6.988","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","PPP1R1B","2.183","6.987","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","CCNA2","-2.449","-6.986","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PARP9","1.445","6.982","True"
"Bt483","4d","","GSE54329","MicroArray","DUSP2","3.831","6.981","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS14","-0.993","-6.981","False"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","KRT23","-1.340","-6.981","False"
"Bt483","4d","","GSE54329","MicroArray","HOXC6","3.830","6.980","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","SPAG4","2.447","6.979","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS11","-0.992","-6.973","False"
"Hmec1","","","GSE19082","MicroArray","EGR1","0.591","6.965","True"
"Bt474","5d","","GSE54329","MicroArray","SDF2L1","1.184","6.962","True"
"Zr751","5d","","GSE54329","MicroArray","BPIFA1","1.599","6.961","True"
"Hcc1428","6d","","GSE54329","MicroArray","S100P","1.353","6.960","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PSG7","-1.555","-6.958","False"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","FREM2","-2.127","-6.954","True"
"Mda-Mb134Vi","6d","","GSE54329","MicroArray","LRRC31","-1.184","-6.952","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","TXNIP","-1.909","-6.951","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","TRIM14","3.217","6.947","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","GBP3","2.125","6.945","True"
"Mcf7","5d","","GSE54329","MicroArray","CCDC83","1.169","6.930","True"
"T47D","6d","","GSE54329","MicroArray","PLAAT4","1.116","6.929","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","FZD9","0.637","6.925","True"
"Bt483","4d","","GSE54329","MicroArray","SRARP","3.796","6.919","False"
"T47D","4d","","GSE54329","MicroArray","TEX14","-2.214","-6.918","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","APOA1","-0.979","-6.918","False"
"Hep3B","","","E-MTAB-4570","MicroArray","ORM1","1.431","6.917","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","DTL","-2.425","-6.917","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","BPIFA4P","-2.115","-6.914","True"
"T47D","5d","","GSE54329","MicroArray","AP2M1","1.625","6.911","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPS20","-0.978","-6.909","False"
"Zr751","6d","","GSE54329","MicroArray","S100A7","4.471","6.899","True"
"Zr751","4d","","GSE54329","MicroArray","ERO1A","1.179","6.899","True"
"Bt474","6d","","GSE54329","MicroArray","ATP6V0A4","1.312","6.897","True"
"T47D","5d","","GSE54329","MicroArray","SLC25A18","-1.621","-6.897","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","UBE2C","-2.492","-6.895","True"
"Bt474","5d","","GSE54329","MicroArray","UPK1A","-1.173","-6.894","True"
"Bt483","4d","","GSE54329","MicroArray","ZNF552","3.782","6.894","False"
"Zr751","4d","","GSE54329","MicroArray","FUT3","1.178","6.893","True"
"Efm19","6d","","GSE54329","MicroArray","IFITM3","1.081","6.893","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","HSPA1B","4.388","6.891","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","CASP4","2.414","6.887","True"
"T Cd4","3d","","GSE65621","RNASeq","SMOX","1.322","6.885","True"
"Hepg2","","","E-MTAB-4570","MicroArray","ACSM2A","-1.523","-6.878","True"
"Hepg2","","","E-MTAB-4570","MicroArray","METTL7A","-1.522","-6.874","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","ASPM","-2.484","-6.872","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","ASRGL1","1.445","6.871","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","GIMAP4","4.375","6.870","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","IFITM3","2.408","6.869","True"
"Hcc1428","5d","","GSE54329","MicroArray","NPY1R","-1.233","-6.867","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS3","-0.977","-6.865","False"
"Macrophage","","","GSE8515","MicroArray","HAT1","-0.946","-6.865","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","SLC6A14","-1.318","-6.864","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","PSMB9","1.443","6.862","True"
"Hmec1","","","GSE19082","MicroArray","SOCS1","0.582","6.861","True"
"Bt483","5d","","GSE54329","MicroArray","TXNRD1","2.180","6.860","True"
"Bt474","5d","","GSE54329","MicroArray","TCP11L2","1.166","6.856","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPS29","-0.969","-6.848","False"
"Zr751","5d","","GSE54329","MicroArray","RRAGD","1.573","6.845","True"
"Hep3B","","","E-MTAB-4570","MicroArray","DTX3L","1.416","6.843","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","BIRC3","2.397","6.836","True"
"T47D","6d","","GSE54329","MicroArray","ICAM1","1.101","6.835","True"
"Hep3B","","","E-MTAB-4570","MicroArray","CXCL5","1.414","6.833","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","IRF7","3.163","6.831","True"
"Mcf7","5d","","GSE54329","MicroArray","IFITM10","1.152","6.829","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","TPX2","-2.468","-6.828","True"
"Zr751","4d","","GSE54329","MicroArray","BHLHE40","1.167","6.828","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","TNFAIP8","1.436","6.827","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS20","-0.971","-6.826","False"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","SHISA3","0.942","6.825","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","APOL1","2.107","6.824","True"
"Hcc1428","4d","","GSE54329","MicroArray","RELB","1.131","6.824","True"
"Bt483","6d","","GSE54329","MicroArray","ST6GAL1","2.037","6.821","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PAG1","1.410","6.815","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","PSMB10","2.129","6.812","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","KLK6","1.871","6.812","True"
"Bt483","4d","","GSE54329","MicroArray","FGFR4","3.736","6.809","False"
"Efm19","6d","","GSE54329","MicroArray","ANG","1.067","6.803","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","SRXN1","0.961","6.794","False"
"Hep3B","","","E-MTAB-4570","MicroArray","VNN3","1.405","6.793","True"
"Efm19","6d","","GSE54329","MicroArray","TTC6","-1.065","-6.792","True"
"Hep3B","","","E-MTAB-4570","MicroArray","MUC13","1.404","6.787","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","IRF2BPL","1.262","6.787","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","ELF3","0.624","6.782","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","TNFAIP6","3.139","6.779","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","IGF2BP3","-1.514","-6.777","False"
"T Cd4","3d","","GSE65621","RNASeq","S100A4","1.301","6.776","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","AREG","-4.314","-6.775","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","HSPA2","1.425","6.774","True"
"Hep3B","","","E-MTAB-4570","MicroArray","OGFRL1","-1.401","-6.773","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPS3","-0.958","-6.773","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","RASL12","1.513","6.772","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","PAPSS2","2.090","6.771","True"
"Hcc1428","4d","","GSE54329","MicroArray","VEPH1","1.121","6.766","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","DENND2A","-1.512","-6.766","False"
"T47D","6d","","GSE54329","MicroArray","NTN4","1.089","6.763","True"
"Zr751","4d","","GSE54329","MicroArray","DUSP2","-1.156","-6.762","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PAPPA","-1.509","-6.755","False"
"Zr751","4d","","GSE54329","MicroArray","SERPINB2","1.154","6.753","True"
"Hep3B","","","E-MTAB-4570","MicroArray","CFI","1.397","6.753","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CCNB2","-2.110","-6.753","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ZNF433","1.255","6.751","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SPRR2G","1.854","6.751","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS28","-0.961","-6.750","False"
"Hcc1428","4d","","GSE54329","MicroArray","PBX3","1.118","6.749","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPS29","-0.921","-6.744","False"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPS10","-0.954","-6.740","False"
"Hmec1","","","GSE19082","MicroArray","KLF10","0.571","6.737","True"
"Bt483","4d","","GSE54329","MicroArray","LGALS1","3.696","6.736","False"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","AKR1B10","1.282","6.733","False"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","AFP","-0.953","-6.733","False"
"Bt483","4d","","GSE54329","MicroArray","HLA-DRA","3.694","6.732","False"
"T47D","6d","","GSE54329","MicroArray","METTL7A","-1.084","-6.732","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","TF","-0.957","-6.728","False"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","EEF1A1","-0.917","-6.721","False"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","HAMP","-1.290","-6.720","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CCNB1","-2.429","-6.720","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPS10","-0.917","-6.719","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS8","-0.956","-6.719","False"
"Zr751","5d","","GSE54329","MicroArray","TFF3","-1.542","-6.714","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","CLIC6","2.072","6.712","True"
"Bt474","5d","","GSE54329","MicroArray","GULP1","1.142","6.710","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","CD69","-4.271","-6.708","False"
"T Cd4","3d","","GSE65621","RNASeq","CXCL13","1.287","6.701","True"
"Macrophage","","","GSE123603","RNASeq","BIRC3","1.126","6.700","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","GBP2","2.348","6.698","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PAPSS2","1.385","6.697","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","AMBP","-0.953","-6.694","False"
"Zr751","4d","","GSE54329","MicroArray","TFPI2","1.144","6.691","True"
"Hepg2","","","E-MTAB-4570","MicroArray","IFITM2","1.481","6.687","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","APOA2","-0.913","-6.686","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","IRF1","1.405","6.681","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","DOK7","0.922","6.680","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPS18","-0.912","-6.679","False"
"Bt474","4d","","GSE54329","MicroArray","PPP1R15A","1.146","6.679","True"
"Bt483","4d","","GSE54329","MicroArray","TESC","3.664","6.678","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","ALB","-0.950","-6.677","False"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","EPB41L3","-2.259","-6.677","True"
"Bt474","4d","","GSE54329","MicroArray","CXCL17","1.145","6.674","True"
"Hepg2","","","E-MTAB-4570","MicroArray","DIO1","-1.478","-6.672","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","PROS1","1.832","6.670","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPL38","-0.944","-6.669","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS29","-0.949","-6.667","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","GSKIP","1.402","6.666","True"
"T Cd4","3d","","GSE65621","RNASeq","NRN1","1.280","6.665","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","MISP","0.920","6.664","True"
"Hepg2","","","E-MTAB-4570","MicroArray","SPP1","1.476","6.664","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","ASPM","-2.057","-6.662","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","KIF20A","-2.407","-6.659","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CENPN","-1.399","-6.651","True"
"T Cd4","3d","","GSE65621","RNASeq","BEND5","1.277","6.651","True"
"T47D","4d","","GSE54329","MicroArray","MT1F","2.128","6.651","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","DDX60","2.034","6.649","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","TPT1","-0.941","-6.648","False"
"Hepg2","","","E-MTAB-4570","MicroArray","FLRT3","1.472","6.648","True"
"Hepg2","","","E-MTAB-4570","MicroArray","CD109","1.471","6.640","True"
"Hepg2","","","E-MTAB-4570","MicroArray","CYP3A7","-1.470","-6.638","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPS8","-0.906","-6.636","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","SERPINA3","0.610","6.636","True"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","DUSP9","1.202","6.634","True"
"Hepg2","","","E-MTAB-4570","MicroArray","SERPINC1","-1.469","-6.634","True"
"Bt483","5d","","GSE54329","MicroArray","SLC2A10","2.108","6.634","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","OTOR","-2.029","-6.633","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","NUSAP1","-2.073","-6.633","True"
"Hepg2","","","E-MTAB-4570","MicroArray","PDZK1","-1.469","-6.632","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","HSD17B2","2.325","6.632","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","NCOA7","0.610","6.632","True"
"Bt483","4d","","GSE54329","MicroArray","KIAA0040","3.638","6.631","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","MDM4","1.232","6.626","False"
"Hmec1","","","GSE19082","MicroArray","SPRY1","0.562","6.625","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","GJA10","1.231","6.623","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","DSG4","1.818","6.621","True"
"Multiple Myeloma","24h","10ng/mL","GSE115558","MicroArray","BPESC1","3.522","6.616","False"
"T47D","6d","","GSE54329","MicroArray","CDH3","1.065","6.615","True"
"Mcf7","5d","","GSE54329","MicroArray","IGFBP5","-1.116","-6.615","True"
"Bt483","6d","","GSE54329","MicroArray","ERP27","1.974","6.610","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","TUBB3","2.041","6.610","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","SLC12A2","-1.271","-6.608","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","HPDL","-2.316","-6.607","True"
"Bt483","5d","","GSE54329","MicroArray","ADM","2.100","6.606","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","TPT1","-0.902","-6.605","False"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","AMBP","-0.901","-6.604","False"
"Macrophage","","","GSE123603","RNASeq","LAP3","1.110","6.602","True"
"Hepg2","","","E-MTAB-4570","MicroArray","MAB21L3","1.462","6.600","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SCEL","1.812","6.598","True"
"Mcf7","4d","","GSE54329","MicroArray","COX7C","-8.830","-6.597","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ADD2","-1.227","-6.597","False"
"Mda-Mb415","4d","","GSE54329","MicroArray","CXCL17","1.269","6.596","False"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","KLF4","-4.199","-6.594","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","ZNF195","1.226","6.592","False"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","NR4A2","-4.197","-6.591","False"
"Mda-Mb415","4d","","GSE54329","MicroArray","CENPU","-1.267","-6.586","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","TK1","-2.308","-6.585","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CLEC1A","-1.471","-6.584","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","FTL","-0.937","-6.582","False"
"Ovarian Cancer","","","GSE20272","MicroArray","HELLS","-1.224","-6.581","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","CHAC1","-1.807","-6.579","True"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","PTP4A3","3.045","6.577","False"
"Zr751","4d","","GSE54329","MicroArray","PLIN2","1.124","6.576","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","CCNB1","-2.305","-6.576","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","EEF1A2","1.469","6.575","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","MOXD1","1.469","6.575","False"
"Zr751","4d","","GSE54329","MicroArray","AK4","1.124","6.574","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SHISA2","-1.805","-6.574","True"
"Hepg2","","","E-MTAB-4570","MicroArray","IFNGR1","1.455","6.572","True"
"Bt483","6d","","GSE54329","MicroArray","TREM1","1.961","6.565","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPL38","-0.896","-6.562","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","CAMP","2.300","6.561","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPS16","-0.928","-6.561","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPL38","-0.934","-6.560","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","SERPINA1","2.025","6.560","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPS28","-0.895","-6.559","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","GLUL","2.025","6.559","True"
"Bt483","5d","","GSE54329","MicroArray","RRAGD","2.084","6.556","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","GPR171","4.174","6.555","False"
"Hep3B","","","E-MTAB-4570","MicroArray","CRP","1.356","6.554","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","PSMB9","2.004","6.552","True"
"Hcc1428","5d","","GSE54329","MicroArray","S100A8","1.176","6.548","True"
"Huh7","","","E-MTAB-4570","MicroArray","CLTRN","-1.665","-6.548","True"
"Bt483","4d","","GSE54329","MicroArray","TMEM79","3.588","6.540","False"
"Bt483","6d","","GSE54329","MicroArray","GBP2","1.953","6.538","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","CCL20","3.027","6.537","True"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","PDE8B","-1.184","-6.534","True"
"Mcf7","5d","","GSE54329","MicroArray","PMP22","1.102","6.533","True"
"T47D","5d","","GSE54329","MicroArray","CRABP2","1.536","6.532","True"
